DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
2096087-1-DCA,Business,11/30/21,Active,7/29/20,Electronic Cigarette Dealer,CENTRAL GOURMET DELI CORP I,,372,CENTRAL AVE,,BROOKLYN,NY,11221,302-513-4862,Brooklyn,3,304,34,3076102,3033230043,,,,-73.91863089,40.69436278,"(40.694362784810394, -73.91863088542817)"
2066655-1-DCA,Business,12/31/21,Active,2/23/18,Tobacco Retail Dealer,ROHAN DELI INC.,,601,BEACH 20TH ST,,FAR ROCKAWAY,NY,11691,7186884363,Queens,4,414,31,4300871,4157500001,QN15,100802,,-73.75370593,40.60094773,"(40.600947733237724, -73.75370592800998)"
1448067-DCA,Business,12/31/21,Active,10/17/12,Tobacco Retail Dealer,SUNSHINE EXPRESS DELI INC.,,986A,GATES AVE,,BROOKLYN,NY,11221,347-722-4832,Brooklyn,3,303,41,3332200,3016380044,BK35,385,,-73.92459769,40.6891957,"(40.68919570170771, -73.92459769250969)"
1422615-DCA,Business,12/31/21,Active,3/22/12,Tobacco Retail Dealer,9-11 DELI CORP.,WHOLESOME FOOD,9,W 110TH ST,,NEW YORK,NY,10026,917-349-1150,Manhattan,1,110,9,1051397,1015940029,MN11,186,,-73.95041819,40.79739131,"(40.79739131283645, -73.9504181922386)"
1333142-DCA,Business,12/31/20,Inactive,9/15/09,Tobacco Retail Dealer,GREENLAND TROPICAL DELI & GROCERY INC.,,1737,DR MARTIN L KING JR BLVD,,BRONX,NY,10453,718-294-4740,Bronx,2,205,14,2009019,2028780208,BX36,21501,,-73.91633697,40.84986708,"(40.849867082970505, -73.91633697499526)"
1325687-DCA,Business,12/31/21,Inactive,7/13/09,Tobacco Retail Dealer,RIMAR GOURMET DELI INC.,,2611,FREDERICK DOUGLASS BLVD,,NEW YORK,NY,10030,917-541-3040,Manhattan,1,110,9,1085457,1020427502,MN03,22102,,-73.94466472,40.81909672,"(40.81909671541169, -73.94466472430894)"
2032244-1-DCA,Business,12/31/21,Active,1/7/16,Tobacco Retail Dealer,MICHAEL'S DELI CORP,XPRESS MART,745,WHITE PLAINS RD,,BRONX,NY,10473,347-270-1929,Bronx,2,209,18,2092714,2036000004,BX09,16,,-73.85814498,40.8214573,"(40.821457302132906, -73.85814498119129)"
1377819-DCA,Business,12/31/21,Active,11/29/10,Tobacco Retail Dealer,88 DELI GROCERY INC.,,8801,JAMAICA AVE,,WOODHAVEN,NY,11421,718-849-5906,Queens,4,409,32,4181888,4088630100,QN53,14,,-73.85641038,40.69268256,"(40.692682558641174, -73.85641038341824)"
2045444-1-DCA,Business,12/31/21,Active,11/10/16,Tobacco Retail Dealer,2463 E. TREMONT DELI CORP,,2463,E TREMONT AVE,,BRONX,NY,10461,516-784-6418,Bronx,2,211,13,2094957,2040670039,BX37,256,,-73.85116037,40.84272828,"(40.84272828495435, -73.85116036920309)"
2042684-1-DCA,Business,12/31/21,Active,8/22/16,Tobacco Retail Dealer,360 DELI CORP,360 DELI,360,W 110TH ST,,NEW YORK,NY,10025,9292134061,Manhattan,1,107,7,1055741,1018450003,MN09,193,,-73.9600772,40.80133924,"(40.801339236353144, -73.96007719887636)"
1300905-DCA,Business,12/31/21,Active,10/1/08,Tobacco Retail Dealer,5401 GOURMET DELI GROCERY CORP.,,5401,CHURCH AVE,,BROOKLYN,NY,11203,718-791-2810,Brooklyn,3,317,41,3102300,3046800050,BK96,866,,-73.92640517,40.65240862,"(40.6524086233255, -73.92640517101529)"
2043249-1-DCA,Business,12/31/17,Inactive,9/2/16,Tobacco Retail Dealer,LIC ORGANIC GOURMET DELI INC,,2302,JACKSON AVE,,LONG ISLAND CITY,NY,11101,718-833-5202,Queens,4,402,26,4000706,4000850001,QN31,19,,-73.94547259,40.74587856,"(40.74587855500664, -73.94547258893536)"
2010267-1-DCA,Business,12/31/21,Active,7/2/14,Tobacco Retail Dealer,IN & OUT TOBACCO DELI CORP,,1020,6TH AVE,,NEW YORK,NY,10018,917-702-1058,Manhattan,1,105,4,1015987,1008400001,MN17,84,,-73.98586602,40.75240388,"(40.752403882129606, -73.98586602387003)"
2044738-1-DCA,Business,12/31/21,Active,10/17/16,Tobacco Retail Dealer,ALEXANDRA DELI & GROCERY LLC,,79,SARATOGA AVE,,BROOKLYN,NY,11233,718-484-4885,Brooklyn,3,316,41,3040191,3014980001,BK79,373,,-73.91743541,40.68420079,"(40.68420079013247, -73.91743540966299)"
2071844-1-DCA,Business,11/30/21,Active,5/25/18,Electronic Cigarette Dealer,TRIANGLE DELI CORP,,1334,BROADWAY,,BROOKLYN,NY,11221,347-529-1166,Brooklyn,3,303,41,3341199,3014790008,BK35,375,,-73.92304979,40.69004556,"(40.69004555608467, -73.92304979393646)"
2005533-1283-DCA,Business,12/31/21,Inactive,4/2/14,Tobacco Retail Dealer,BRAVO AT 2301 DELI CORP,,2301,7TH AVE,,NEW YORK,NY,10030,718-600-6653,Manhattan,1,110,9,1058258,1019200001,MN03,228,,-73.9436165,40.81540181,"(40.81540181464661, -73.94361649894742)"
1448991-DCA,Business,12/31/21,Active,10/24/12,Tobacco Retail Dealer,19 W. BRONX DELI GROCERY CORP.,,19,W 183RD ST,,BRONX,NY,10453,718-220-4565,Bronx,2,207,14,2112707,2031970017,BX40,239,,-73.90472159,40.8586521,"(40.85865210494639, -73.9047215912239)"
2066341-1-DCA,Business,12/31/21,Active,2/20/18,Tobacco Retail Dealer,CURLY DELI & GROCERY INC,,17302,JAMAICA AVE,,JAMAICA,NY,11432,718-729-4789,Queens,4,412,27,4217534,4102140001,QN61,444,,-73.7865519,40.70789278,"(40.70789277996657, -73.78655190156964)"
2046253-1-DCA,Business,12/31/21,Active,12/7/16,Tobacco Retail Dealer,J & Y SPRINGFIELD DELI AND MINI MARKET CORP,,22314,S CONDUIT AVE,,SPRINGFIELD GARDENS,NY,11413,7184819289,Queens,4,413,31,4287379,4135030005,QN03,680,,-73.75448057,40.66547137,"(40.66547137204526, -73.75448057197329)"
2038893-1-DCA,Business,12/31/21,Active,6/9/16,Tobacco Retail Dealer,BH GOURMET DELI CORP,,2550,BAINBRIDGE AVE,,BRONX,NY,10458,917-572-1443,Bronx,2,207,15,2016588,2032860011,BX05,39901,,-73.89321585,40.86253951,"(40.8625395051037, -73.89321585196132)"
1433489-DCA,Business,12/31/17,Inactive,6/8/12,Tobacco Retail Dealer,ADAM'S DELI ON THE CORNER CORP,,525,KINGS HWY,,BROOKLYN,NY,11223,718-645-1480,Brooklyn,3,315,44,3177325,3066600052,BK25,422,,-73.969886,40.60446852,"(40.60446852022846, -73.9698859992866)"
2071953-1-DCA,Business,11/30/21,Active,5/26/18,Electronic Cigarette Dealer,88 DELI GROCERY INC.,,8801,JAMAICA AVE,,WOODHAVEN,NY,11421,718-849-5906,Queens,4,409,32,4181888,4088630100,QN53,14,,-73.85641038,40.69268256,"(40.692682558641174, -73.85641038341824)"
2003115-797-DCA,Business,12/31/21,Active,1/31/14,Tobacco Retail Dealer,NEALTICAN DELI GROCERY CORP.,,1225,FLUSHING AVE,,BROOKLYN,NY,11237,718-909-1181,Brooklyn,3,301,34,3070658,3030020012,BK77,453,,-73.92373987,40.70778545,"(40.7077854493441, -73.92373986983549)"
2047466-1-DCA,Business,12/31/21,Active,1/18/17,Tobacco Retail Dealer,LA PLAZA DELI MINI MARKET CORP,,885,E TREMONT AVE,,BRONX,NY,10460,718-893-6214,Bronx,2,206,17,2013090,2031170008,BX17,363,,-73.88654259,40.84315826,"(40.84315826313361, -73.88654259267597)"
2051380-2-DCA,Business,12/31/20,Inactive,4/18/17,Tobacco Retail Dealer,BRIGHTON'S BEST DELI CORP,,1133,BRIGHTON BEACH AVE,,BROOKLYN,NY,11235,718-676-0207,Brooklyn,3,313,48,3245666,3087170020,BK19,61004,,-73.95583347,40.57768296,"(40.577682964880154, -73.95583347132629)"
2075269-1-DCA,Business,12/31/21,Active,7/9/18,Tobacco Retail Dealer,EL PATIO DELI CORP,,2082,MADISON AVE,,NEW YORK,NY,10037,9783909307,Manhattan,1,111,9,1054307,1017560014,MN03,206,,-73.93781989,40.80962668,"(40.80962668365211, -73.93781988815412)"
2072939-1-DCA,Business,11/30/21,Inactive,6/8/18,Electronic Cigarette Dealer,BRIGHTON'S BEST DELI CORP,,1133,BRIGHTON BEACH AVE,,BROOKLYN,NY,11235,718-676-0207,Brooklyn,3,313,48,3245666,3087170020,BK19,61004,,-73.95583347,40.57768296,"(40.577682964880154, -73.95583347132629)"
2065793-1-DCA,Business,12/31/21,Active,2/7/18,Tobacco Retail Dealer,"DZIK, GRZEGORZ H.",GREGORY DELI,4602,NEW UTRECHT AVE,,BROOKLYN,NY,11219,347-742-8255,Brooklyn,3,312,44,3136912,3056210006,BK88,222,,-73.99445474,40.63901827,"(40.63901827491485, -73.99445474264215)"
2015580-1-DCA,Business,12/31/21,Active,11/17/14,Tobacco Retail Dealer,MONTERO'S DELI MINI MARKET CORP,,4118,JUNCTION BLVD,,CORONA,NY,11368,917-832-6330,Queens,4,404,21,4039899,4015980012,QN29,465,,-73.86846264,40.74711462,"(40.74711461930981, -73.86846263532341)"
1041533-DCA,Business,12/31/21,Active,11/30/00,Tobacco Retail Dealer,"LEE, SANG DUCK",HY-DELI,1990,HYLAN BLVD,,STATEN ISLAND,NY,10306,718-67-0929,Staten Island,5,502,50,5053169,5036660031,SI36,11201,,-74.09818058,40.58143733,"(40.58143733218266, -74.09818057554347)"
1440455-DCA,Business,12/31/21,Active,8/8/12,Tobacco Retail Dealer,DANIA DELI GROCERY CORP.,,14518,111TH AVE,,JAMAICA,NY,11435,718-322-2763,Queens,4,412,28,4258749,4119610050,QN76,192,,-73.79935409,40.68707748,"(40.68707747974836, -73.79935408800212)"
1296129-DCA,Business,12/31/21,Active,8/19/08,Tobacco Retail Dealer,H AND M DELI GROCERY CORP.,,14718,ROCKAWAY BLVD,,S OZONE PARK,NY,11436,718-845-5968,Queens,4,412,28,4585948,4121020034,QN76,788,,-73.79035034,40.67336497,"(40.67336497130478, -73.79035034195489)"
2044177-1-DCA,Business,12/31/21,Active,9/27/16,Tobacco Retail Dealer,REYES DELI GROCERY CORP.,,676,CASTLE HILL AVE,,BRONX,NY,10473,718-684-4101,Bronx,2,209,18,2021951,2035750032,BX09,90,,-73.84839524,40.82064618,"(40.820646181667605, -73.84839523556464)"
1046077-DCA,Business,12/31/21,Active,11/28/00,Tobacco Retail Dealer,1388 DELI-GROCERY INC.,,1388,1ST AVE,,NEW YORK,NY,10021,212-439-9891,Manhattan,1,108,5,1045891,1014697501,MN31,132,,-73.95495914,40.76921024,"(40.769210243460805, -73.95495914391225)"
2033288-1-DCA,Business,12/31/21,Active,2/16/16,Tobacco Retail Dealer,CITI LINE TRADING INC,99 CENTS PLUS & DELI GROCERY,21512,91ST AVE,,QUEENS VILLAGE,NY,11428,718-749-5458,Queens,4,413,23,4441707,4106400001,QN34,558,,-73.74512409,40.72273732,"(40.72273732357522, -73.74512409209214)"
2015063-1-DCA,Business,12/31/21,Active,10/29/14,Tobacco Retail Dealer,H & S DELI AND SMOKE SHOP LLC,,6901,NEW UTRECHT AVE,,BROOKLYN,NY,11228,347-922-7804,Brooklyn,3,311,43,3156607,3061580048,BK28,262,,-73.99861677,40.62038403,"(40.620384027696566, -73.99861677429647)"
2050158-2-DCA,Business,12/31/20,Inactive,3/28/17,Tobacco Retail Dealer,969 UNITED DELI INC.,,969,SENECA AVE,,RIDGEWOOD,NY,11385,7185019770,Queens,4,405,34,4086219,4035730001,QN20,557,,-73.90244947,40.69971897,"(40.69971897496642, -73.90244947058483)"
1420299-DCA,Business,12/31/21,Active,3/1/12,Tobacco Retail Dealer,STEVE CHU'S DELI & GROCERY INC,,3406,10TH ST,,ASTORIA,NY,11106,718-726-8888,Queens,4,401,26,4003862,4003240031,QN68,39,,-73.9388258,40.76457792,"(40.76457791754841, -73.93882580238908)"
2061742-DCA,Business,12/31/21,Active,11/28/17,Laundries,"HONG, MOSES",DELIS CLEANER,2726,HYLAN BLVD,,STATEN ISLAND,NY,10306,7189798549,Staten Island,5,502,50,5107589,5039830013,SI25,12806,Laundry Type: Retail Laundry,-74.11409548,40.56614504,"(40.56614503705933, -74.11409548276306)"
2073675-1-DCA,Business,11/30/21,Active,6/18/18,Electronic Cigarette Dealer,HABIBI SAM DELI CORP,,13502,ROCKAWAY BLVD,,S OZONE PARK,NY,11420,347-206-8584,Queens,4,410,28,4255181,4117590041,QN55,814,,-73.80349441,40.67453549,"(40.6745354909916, -73.80349440635607)"
2096213-1-DCA,Business,12/31/21,Active,8/17/20,Tobacco Retail Dealer,102 DELI & GROCERY CORP,,10202,JAMAICA AVE,,RICHMOND HILL,NY,11418,3479608000,Queens,4,409,32,4194190,4092880001,,,,-73.84509964,40.69515465,"(40.695154654633356, -73.84509963757142)"
1250361-DCA,Business,12/31/21,Active,3/21/07,Tobacco Retail Dealer,"TRES K DELI, GROCERY, FRUIT AND MEAT INC.",,125,W TREMONT AVE,,BRONX,NY,10453,718-466-5534,Bronx,2,205,14,2008601,2028690058,BX36,243,,-73.91361859,40.85004074,"(40.85004074060992, -73.91361858586654)"
2004497-1127-DCA,Business,12/31/21,Active,3/10/14,Tobacco Retail Dealer,DELI FARMS CORPORATION,,850,LONGWOOD AVE,,BRONX,NY,10459,718-589-4944,Bronx,2,202,17,2005169,2026880048,BX33,85,,-73.90137806,40.81937523,"(40.81937522558501, -73.90137806471634)"
1348053-DCA,Business,12/31/21,Active,3/23/10,Tobacco Retail Dealer,MOON CONVENIENCE & DELI INC.,,7402,NEW UTRECHT AVE,,BROOKLYN,NY,11204,347-312-3882,Brooklyn,3,311,43,3159556,3062140012,BK28,188,,-73.99975867,40.61648369,"(40.61648368593755, -73.99975867003378)"
2070156-1-DCA,Business,12/31/19,Inactive,4/27/18,Tobacco Retail Dealer,DEKALB SUPER DELI INC,,447,DEKALB AVE,,BROOKLYN,NY,11205,3476523005,Brooklyn,3,303,33,3055129,3019240055,BK69,193,,-73.95950535,40.69044568,"(40.6904456814722, -73.9595053458562)"
1214975-DCA,Business,12/31/21,Active,11/23/05,Tobacco Retail Dealer,"MATANZA DELI GROCERY, CORP.",,4027A,LACONIA AVE,,BRONX,NY,10466,718-231-4164,Bronx,2,212,12,2065041,2048740001,BX44,404,,-73.8482539,40.88579435,"(40.885794350535036, -73.84825390174389)"
2074932-1-DCA,Business,11/30/21,Inactive,7/3/18,Electronic Cigarette Dealer,STOP & GO SMOKE DELI CORP,,1398,JEROME AVE,,BRONX,NY,10452,3473556486,Bronx,2,204,16,2008074,2028420006,BX63,22101,,-73.91774425,40.84012713,"(40.84012712733618, -73.91774424722352)"
1086325-DCA,Business,12/31/03,Inactive,4/5/02,Tobacco Retail Dealer,"LEX'S FOOD MARKET DELI, CORP",,100,LEXINGTON AVE,,NEW YORK,NY,10016,2126832133,Manhattan,1,105,2,1018167,1008830020,MN21,68,,-73.98308946,40.74221226,"(40.74221225573634, -73.98308945842682)"
2096251-DCA,Business,3/31/22,Active,8/21/20,Stoop Line Stand,NEW HAPPY DELI & GROCERY INC,,3202,36TH AVE,,ASTORIA,NY,11106,6463014625,Queens,4,401,26,4007942,4006010032,,,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92882803,40.75614306,"(40.756143064898325, -73.92882803495084)"
2068469-DCA,Business,3/31/22,Active,3/28/18,Stoop Line Stand,LA DUENA MEXICAN DELI II INC.,,10322,NORTHERN BLVD,,CORONA,NY,11368,917-693-6042,Queens,4,403,21,4042620,4017180014,,,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86534844,40.75763988,"(40.75763988165942, -73.8653484430731)"
2039438-1-DCA,Business,12/31/21,Inactive,6/23/16,Tobacco Retail Dealer,8508 GOURMET DELI & GRILL CORP.,,8508,BAY PKWY,,BROOKLYN,NY,11214,718-372-0379,Brooklyn,3,311,47,3165895,3063470041,BK28,290,,-73.99333421,40.60241916,"(40.60241916437489, -73.99333421390472)"
2090449-2-DCA,Business,12/31/22,Active,9/11/19,Tobacco Retail Dealer,USA MOES DELI INC,,9608,LIBERTY AVE,,OZONE PARK,NY,11417,7186661408,Queens,4,410,32,4191225,4091690001,QN56,4002,,-73.84284032,40.68063722,"(40.68063722170565, -73.84284031742945)"
2088278-2-DCA,Business,12/31/22,Active,7/16/19,Tobacco Retail Dealer,BUSHWICK DELI INC I,,1449,MYRTLE AVE,,BROOKLYN,NY,11237,718-386-4560,Brooklyn,3,304,37,3326381,3033000001,BK77,431,,-73.91794379,40.69885823,"(40.69885822813454, -73.91794379070257)"
2096269-1-DCA,Business,12/31/21,Active,8/24/20,Tobacco Retail Dealer,DREAMERS DELI INC.,,969,SENECA AVE,,RIDGEWOOD,NY,11385,3474581536,Queens,4,405,34,4086219,4035730001,,,,-73.90244947,40.69971897,"(40.69971897496642, -73.90244947058483)"
2085155-2-DCA,Business,12/31/22,Active,4/25/19,Tobacco Retail Dealer,"523 DELI & GRILL, CORP",,523,GRAND ST,,NEW YORK,NY,10002,212-475-5936,Manhattan,1,103,1,1003742,1002880034,MN28,202,,-73.98205759,40.71457241,"(40.714572406424836, -73.9820575856655)"
1462664-DCA,Business,12/31/22,Active,4/18/13,Tobacco Retail Dealer,BORO PARK DELI GROCERY CORP,,4928,NEW UTRECHT AVE,,BROOKLYN,NY,11219,347-787-1789,Brooklyn,3,312,44,3137679,3056400044,BK88,220,,-73.99477924,40.63633389,"(40.636333888750734, -73.99477923671975)"
2056144-2-DCA,Business,12/31/22,Active,7/24/17,Tobacco Retail Dealer,15 ISLAND DELI GROCERY INC,,15,CORSON AVE,,STATEN ISLAND,NY,10301,718-720-5794,Staten Island,5,501,49,5089359,5000180073,SI22,11,,-74.07928652,40.63822528,"(40.63822527886045, -74.07928652024391)"
2017554-2-DCA,Business,12/31/20,Inactive,1/23/15,Tobacco Retail Dealer,GOD BLESS USA DELI INC.,,818,MANHATTAN AVE,,BROOKLYN,NY,11222,718-349-1828,Brooklyn,3,301,33,3065123,3025740036,BK76,575,,-73.95336319,40.7283156,"(40.728315600658036, -73.95336319113471)"
2056783-2-DCA,Business,12/31/22,Active,8/8/17,Tobacco Retail Dealer,FARMER IN THE DELI CORP.,,357,MYRTLE AVE,,BROOKLYN,NY,11205,718-875-9067,Brooklyn,3,302,35,3058117,3020450100,BK68,187,,-73.97172108,40.69321331,"(40.69321331431155, -73.97172108159027)"
1341526-DCA,Business,12/31/22,Active,12/28/09,Tobacco Retail Dealer,BAYCHESTER EXPRESS DELI INC.,,3929,BAYCHESTER AVE,,BRONX,NY,10466,718-325-7960,Bronx,2,212,12,2066572,2049540061,BX62,426,,-73.84219932,40.88905241,"(40.88905241300641, -73.84219931901391)"
2085156-2-DCA,Business,11/30/22,Active,4/25/19,Electronic Cigarette Dealer,"523 DELI & GRILL, CORP",,523,GRAND ST,,NEW YORK,NY,10002,212-475-5936,Manhattan,1,103,1,1003742,1002880034,MN28,202,,-73.98205759,40.71457241,"(40.714572406424836, -73.9820575856655)"
2049119-2-DCA,Business,12/31/22,Active,3/6/17,Tobacco Retail Dealer,STOP ONE DELI & GROCERY INC  II,,1222,BUSHWICK AVE,,BROOKLYN,NY,11221,646-919-8826,Brooklyn,3,304,37,3326211,3033940029,BK78,397,,-73.91523858,40.68783602,"(40.68783601640479, -73.9152385846285)"
2049410-2-DCA,Business,12/31/22,Active,3/9/17,Tobacco Retail Dealer,ASRA MINI MART AND DELI INC.,CORNER CONVEIENCE & GROCERY,2801,MIDDLETOWN RD,,BRONX,NY,10461,718-239-9761,Bronx,2,210,13,2045755,2041520003,BX10,26602,,-73.83667646,40.84347172,"(40.843471715995236, -73.83667646295471)"
2066391-1-DCA,Business,12/31/21,Inactive,2/21/18,Tobacco Retail Dealer,WESAM DELI & GROCERY INC,,1117,BROADWAY,,BROOKLYN,NY,11221,718-452-3032,Brooklyn,3,304,34,3073760,3032410079,BK78,393,,-73.9295365,40.69377436,"(40.69377436365528, -73.92953650019199)"
1457672-DCA,Business,12/31/22,Active,3/7/13,Tobacco Retail Dealer,10413 JAMAICA CORP,FIVE STARS DELI GROCERY,10413,JAMAICA AVE,,RICHMOND HILL,NY,11418,7188460480,Queens,4,409,32,4192008,4092000044,QN54,26,,-73.84271943,40.69520632,"(40.69520632189288, -73.8427194265643)"
1064534-DCA,Business,12/31/22,Active,10/23/00,Tobacco Retail Dealer,LANTIGUA DELI CORP.,,3074,14TH ST,,ASTORIA,NY,11102,718-728-6540,Queens,4,401,22,4005707,4005170001,QN71,79,,-73.93137385,40.76906961,"(40.76906960673831, -73.93137384777121)"
1145336-DCA,Business,12/31/22,Active,7/14/03,Tobacco Retail Dealer,SMA DELI GROCERY CORP.,,2487,EASTCHESTER RD,,BRONX,NY,10469,718-829-3655,Bronx,2,211,13,2052900,2044770037,BX31,312,,-73.8433907,40.86232619,"(40.86232618642544, -73.84339069676287)"
2052324-2-DCA,Business,12/31/22,Active,5/3/17,Tobacco Retail Dealer,ALWAJIH DELI INC,,125,MALCOLM X BLVD,,BROOKLYN,NY,11221,347-320-4205,Brooklyn,3,303,36,3044525,3016320006,BK35,387,,-73.93029137,40.68918831,"(40.68918831241119, -73.93029136718931)"
1386246-DCA,Business,12/31/22,Active,3/30/11,Tobacco Retail Dealer,"ALROBAEY, JAMAL ALI MOHAMMED",BAY DELI & GROCERY,680,BAY ST,,STATEN ISLAND,NY,10304,3474480490,Staten Island,5,501,49,5113098,5005280034,SI37,27,,-74.07494479,40.62541002,"(40.62541002406252, -74.07494478655275)"
2022212-2-DCA,Business,12/31/22,Active,5/5/15,Tobacco Retail Dealer,K & M EXPRESS DELI INC,,728,ROGERS AVE,,BROOKLYN,NY,11226,7187039607,Brooklyn,3,317,40,3116658,3050840056,BK60,822,,-73.95278837,40.65355607,"(40.653556074343776, -73.9527883661536)"
2088324-2-DCA,Business,12/31/22,Active,7/16/19,Tobacco Retail Dealer,SHIVALAY DELI INC,,7106,KISSENA BLVD,,FLUSHING,NY,11367,3478863924,Queens,4,408,24,4144882,4066980001,QN37,77906,,-73.81518138,40.72942833,"(40.72942833272947, -73.81518138267809)"
2057389-2-DCA,Business,12/31/22,Active,8/23/17,Tobacco Retail Dealer,DAY & NIGHT DELI GROCERY CORP I,,73,BUSHWICK AVE,,BROOKLYN,NY,11211,718-486-3800,Brooklyn,3,301,34,3070384,3029190001,BK90,481,,-73.94108453,40.71277189,"(40.712771889162674, -73.94108452809672)"
2026192-2-DCA,Business,12/31/22,Active,7/27/15,Tobacco Retail Dealer,UNCLE & COUSINS DELI GROCERY CORP,,9706,SEAVIEW AVE,,BROOKLYN,NY,11236,718-531-6333,Brooklyn,3,318,46,3235260,3083290001,BK50,1034,,-73.88940945,40.6339752,"(40.63397520269555, -73.88940944971365)"
2028187-2-DCA,Business,12/31/22,Active,9/9/15,Tobacco Retail Dealer,LOS PEREZ DELI FOOD CORP.,,2629,MARION AVE,,BRONX,NY,10458,718-933-5358,Bronx,2,207,15,2016645,2032870115,BX05,40502,,-73.89107262,40.86436822,"(40.864368216393366, -73.89107261738864)"
1286676-DCA,Business,12/31/22,Active,5/27/08,Tobacco Retail Dealer,"MYRTLE CONVENIENT DELI, INC.",,6815,MYRTLE AVE,,GLENDALE,NY,11385,718-366-7278,Queens,4,405,30,4089535,4036820044,QN19,627,,-73.88405321,40.70168638,"(40.70168638061972, -73.88405320751781)"
