Address,Role,Property Class,Square feet,Sale date,Sale price,Total debt,Landlord
"214 Knickerbocker Ave, Brooklyn, NY, 11237",Managing Member,Single or Multiple Dwelling with Stores or Offices (S9),"4,125",9/13/2016,"$2,100,000","$1,450,000",Shulem Herman
"318 Jefferson St, Brooklyn, NY, 11237",Manager,Over Six Families without Stores (C1),"6,500",4/26/2006,"$550,000","$4,002,704",Shulem Herman
"204 Starr St, Brooklyn, NY, 11237",Sole member,Five to Six Families (C2),"4,725",8/29/2012,"$773,000","$7,068,694",Shulem Herman
"415 Suydam St, Brooklyn, NY, 11237",Member,Five to Six Families (C2),"4,875",5/18/2015,"$1,050,000","$3,840,000",Shulem Herman
"170 Suydam St, Brooklyn, NY, 11221",Member,Five to Six Families (C2),"4,875",11/30/2012,"$670,000","$10,370,444",Shulem Herman
"172 Suydam St, Brooklyn, NY, 11221",Member,Over Six Families without Stores (C1),"5,462",5/12/2015,"$1,350,000","$6,624,930",Shulem Herman
"852 Hart St, Brooklyn, NY, 11237",Member,Five to Six Families (C2),"4,500",4/16/2010,"$430,000","$5,305,278",Shulem Herman
"634 Kosciuszko St, Brooklyn, NY, 11221",Member,Over Six Families without Stores (C1),"5,451",9/29/2014,$0,"$4,371,396",Shulem Herman
"205 Central Ave, Brooklyn, NY, 11221",Member,Over Six Families without Stores (C1),"7,661",5/20/2015,"$1,175,081","$20,315,663",Shulem Herman
"250 Stockholm St, Brooklyn, NY, 11237",Manager,Over Six Families without Stores (C1),"7,000",5/1/2014,"$1,200,000","$20,165,663",Shulem Herman
"285 Himrod St, Brooklyn, NY, 11237",Manager,Five to Six Families (C2),"5,250",12/7/2011,"$498,000","$5,341,313",Shulem Herman
"287 Harman St, Brooklyn, NY, 11237",Member,Five to Six Families (C2),"4,500",2/4/2014,"$845,000","$4,431,985",Shulem Herman
"153 Bleecker St, Brooklyn, NY, 11221",Manager,Five to Six Families (C2),"5,100",1/14/2013,"$1,000,000","$4,660,134",Shulem Herman
"334 Central Ave, Brooklyn, NY, 11221",Member,Single or Multiple Dwelling with Stores or Offices (S9),"4,500",4/15/2013,"$600,000","$7,783,253",Shulem Herman
"1402 Putnam Ave, Brooklyn, NY, 11237",Member,Five to Six Families (C2),"10,710",6/27/2012,"$2,505,000","$29,417,385",Shulem Herman
"1406 Putnam Ave, Brooklyn, NY, 11237",Member,Five to Six Families (C2),"5,304",6/27/2012,"$2,505,000","$29,417,385",Shulem Herman
"1408 Putnam Ave, Brooklyn, NY, 11237",Member,Five to Six Families (C2),"5,304",6/27/2012,"$2,505,000","$29,417,385",Shulem Herman
"1323 Halsey St, Brooklyn, NY, 11237",Member,Five to Six Families (C2),"5,460",5/1/2014,"$850,000","$4,964,304",Shulem Herman
"1217 Halsey St, Brooklyn, NY, 11237",Sole member,Over Six Families without Stores (C1),"6,890",12/3/2014,"$1,200,000","$19,000,000",Shulem Herman
"1501 Pitkin Ave, Brooklyn, NY, 11212",Member,Miscellaneous Educational Facility (W9),"129,654",12/26/2017,"$53,000,000","$48,700,000",Shulem Herman
"743 Rogers Ave, Brooklyn, NY, 11226",Member,Five to Six Families (C2),"7,518",1/10/2013,$0,$0,Shulem Herman
"34-01 Starr Ave, Long Island City, NY, 11101",Sole member,Limited Service - Many Affiliated with National Chain (H3),"67,223",11/16/2018,"$36,500,000","$28,041,870",Shulem Herman
"613 Woodward Ave, Ridgewood, NY, 11385",Member,Over Six Families without Stores (C1),"5,637",1/6/2015,"$1,180,000","$4,853,019",Shulem Herman
"18-78 Bleecker St, Ridgewood, NY, 11385",Manager,Five to Six Families (C2),"4,875",2/4/2014,"$835,000","$5,126,282",Shulem Herman
"413 Seneca Ave, Ridgewood, NY, 11385",,Four Families (C3),"3,900",6/12/2017,"$1,320,000","$2,745,693",Shulem Herman
"559 Seneca Ave, Ridgewood, NY, 11385",Member,Five to Six Families (C2),"4,650",9/18/2014,"$1,125,000","$2,895,806",Shulem Herman
"604 Seneca Ave, Ridgewood, NY, 11385",Manager,Four Families (C3),"3,000",1/5/2016,"$1,000,000","$3,200,000",Shulem Herman
"66-03 Forest Ave, Ridgewood, NY, 11385",Managing Member,Four Families (C3),"3,250",4/8/2016,"$1,200,000","$3,460,722",Shulem Herman
"18-29 Decatur St, Ridgewood, NY, 11385",Manager,Four Families (C3),"3,250",8/18/2016,"$1,180,000","$2,897,959",Shulem Herman
"72-03 Forest Ave, Ridgewood, NY, 11385",Manager,Walk-up Apartment - Over Six Families with Stores (C7),"5,625",4/16/2015,"$1,900,000","$2,020,493",Shulem Herman
"64-11 Myrtle Ave, Ridgewood, NY, 11385",Managing Member,Four Families (C3),"3,000",6/5/2017,"$1,100,000","$1,990,210",Shulem Herman
"1412 Pitkin Ave, Brooklyn, NY, 11233",Authorized Signatory,Limited Service - Many Affiliated with National Chain (H3),"19,416",3/4/2020,"$10,000,000","$36,182,688",Shulem Herman
"865 Greene Ave, Brooklyn, NY, 11221",,Over Six Families without Stores (C1),"7,387",5/1/2014,"$1,550,000","$6,600,000",Shulem Herman
(no-address),Member,Zoned Commercial or Manhattan Residential (V1),0,12/11/2018,$0,"$3,900,000",Shulem Herman
"355 S 4th St, Brooklyn, NY, 11211",Member,Over Six Families without Stores (C1),"6,000",,,"$8,367,495",Shulem Herman
"1406 Putnam Ave #6, Brooklyn, NY, 11237",Owner (ACRIS),Five to Six Families (C2),0,,,"$1,600,000",Shulem Herman
"788 Park Pl #15, Brooklyn, NY, 11216",Member,Over Six Families without Stores (C1),0,,,"$2,095,185",Shulem Herman
"141 Frost St #6, Brooklyn, NY, 11211",Manager,Five to Six Families (C2),0,1/5/2016,"$1,500,000","$900,000",Shulem Herman
"418 Melrose St #8, Brooklyn, NY, 11237",Member,Over Six Families without Stores (C1),0,,,"$12,803,658",Shulem Herman
"1402 Putnam Ave #6, Brooklyn, NY, 11237",Owner (ACRIS),Five to Six Families (C2),0,,,"$1,600,000",Shulem Herman
"1408 Putnam Ave #6, Brooklyn, NY, 11237",Owner (ACRIS),Five to Six Families (C2),0,,,"$1,600,000",Shulem Herman
"743 Rogers Ave #6, Brooklyn, NY, 11226",Member,Five to Six Families (C2),0,4/20/2015,"$1,400,000","$587,167",Shulem Herman
(no-address),,,,,,$0,Shulem Herman
