Address,Role,Property Class,Square feet,Sale date,Sale price,Total debt,Landlord
"1895 Eastern Pkwy, Brooklyn, NY, 11233",Owner,Single or Multiple Dwelling with Stores or Offices (S9),"4,720",4/17/2013,"$1,100,000","$9,765,272",Yehuda Cohen
"1893 Eastern Pkwy, Brooklyn, NY, 11233",Managing Member,Primarily Four Family with One Store or Office (S4),"3,558",4/17/2013,"$1,100,000","$9,765,272",Yehuda Cohen
"1886 Eastern Pkwy, Brooklyn, NY, 11233",Managing Member,Five to Six Families (C2),"3,300",4/17/2013,"$1,100,000","$2,900,000",Yehuda Cohen
"395 Kosciuszko St, Brooklyn, NY, 11221",Managing Member,Five to Six Families (C2),"3,600",6/7/2019,"$1,650,000","$4,200,000",Yehuda Cohen
"382 Kosciuszko St, Brooklyn, NY, 11221",Managing Member,Five to Six Families (C2),"3,000",3/19/2013,"$599,000","$3,562,369",Yehuda Cohen
"434 Hancock St, Brooklyn, NY, 11233",President,Single or Multiple Dwelling with Stores or Offices (S9),"4,800",9/17/2015,"$480,000","$3,672,000",Yehuda Cohen
"297 Clifton Pl, Brooklyn, NY, 11216",Member,Three Families (C0),"3,375",3/25/2019,"$1,018,249","$799,999",Yehuda Cohen
"614 Lafayette Ave, Brooklyn, NY, 11216",President,Three Families (C0),"2,592",2/26/2021,$0,"$1,625,000",Yehuda Cohen
"616 Lafayette Ave, Brooklyn, NY, 11216",CEO (Chief Executive Officer),Three Families (C0),"2,700",2/26/2021,$0,"$1,625,000",Yehuda Cohen
"306 Clifton Pl, Brooklyn, NY, 11216",Managing Member,Four Families (C3),"4,000",2/27/2015,$0,"$4,311,833",Yehuda Cohen
"310 Clifton Pl, Brooklyn, NY, 11216",Officer,Five to Six Families (C2),"3,600",10/5/2012,$0,"$5,150,585",Yehuda Cohen
"483 Greene Ave, Brooklyn, NY, 11216",Managing Member,Four Families (C3),"3,912",3/29/2016,"$1,350,000","$3,120,000",Yehuda Cohen
"429 Greene Ave, Brooklyn, NY, 11216",Member,Four Families (C3),"2,520",11/20/2017,$0,"$4,814,362",Yehuda Cohen
"285 Jefferson Ave, Brooklyn, NY, 11216",Member,Five to Six Families (C2),"3,982",10/23/2012,"$450,000","$3,610,000",Yehuda Cohen
"137 Hancock St, Brooklyn, NY, 11216",Managing Member,Two Family Converted from One Family (B3),"4,400",3/8/2021,"$1,950,000",$0,Yehuda Cohen
"171 Hancock St, Brooklyn, NY, 11216",CEO (Chief Executive Officer),Over Six Families without Stores (C1),"4,500",10/8/2009,"$450,000","$7,528,582",Yehuda Cohen
"257 Hancock St, Brooklyn, NY, 11216",Owner,Two Family Converted from One Family (B3),"2,800",4/1/2019,"$1,352,502",$0,Yehuda Cohen
"212 Hancock St, Brooklyn, NY, 11216",President,Over Six Families without Stores (C1),"3,924",10/18/2012,"$650,000","$3,489,952",Yehuda Cohen
"252 Hancock St, Brooklyn, NY, 11216",Head officer,Five to Six Families (C2),"3,300",9/22/2011,"$540,000","$4,517,440",Yehuda Cohen
"142 Macon St, Brooklyn, NY, 11216",President,Over Six Families without Stores (C1),"3,760",4/25/2012,"$580,000","$3,678,204",Yehuda Cohen
"472 Marcus Garvey Blvd, Brooklyn, NY, 11216",Member,Walk-up Apartment - Over Six Families with Stores (C7),"7,698",10/5/2012,$0,"$6,589,109",Yehuda Cohen
"21 Herkimer St, Brooklyn, NY, 11216",Managing Member,Over Six Families without Stores (C1),"3,360",8/1/2014,"$1,055,000","$3,800,000",Yehuda Cohen
"399 Clermont Ave, Brooklyn, NY, 11238",Owner,Four Families (C3),"2,580",11/20/2019,$0,"$2,675,000",Yehuda Cohen
"378 Grand Ave, Brooklyn, NY, 11238",Managing Member,Old Law Tenement (C4),"7,040",6/26/2017,"$3,200,000","$6,838,000",Yehuda Cohen
"37 Irving Pl, Brooklyn, NY, 11238",Managing Member,Two Family Converted from One Family (B3),"1,800",6/12/2018,"$1,450,000",$0,Yehuda Cohen
"405 Franklin Ave, Brooklyn, NY, 11238",CEO (Chief Executive Officer),Four Families (C3),"3,447",12/18/2009,"$405,000","$3,912,000",Yehuda Cohen
"3 Spencer Pl, Brooklyn, NY, 11216",Managing Member,Five to Six Families (C2),"2,700",12/31/2019,"$2,200,000","$6,580,000",Yehuda Cohen
"187 Lefferts Pl, Brooklyn, NY, 11238",Managing Member,Five to Six Families (C2),"2,126",11/12/2013,"$800,000","$3,680,000",Yehuda Cohen
"90 Starr St, Brooklyn, NY, 11237",Managing Member,Five to Six Families (C2),"4,350",5/29/2013,"$725,000","$4,000,000",Yehuda Cohen
"10 Palmetto St, Brooklyn, NY, 11221",Managing Member,Over Six Families without Stores (C1),"4,928",2/5/2018,"$1,200,000","$3,660,000",Yehuda Cohen
"471 Evergreen Ave, Brooklyn, NY, 11221",Sole member,Miscellaneous Two Family (B9),"3,000",9/13/2018,"$900,000",$0,Yehuda Cohen
"1180 Bushwick Ave, Brooklyn, NY, 11221",Member,Over Six Families without Stores (C1),"5,240",1/3/2013,"$750,000","$5,004,217",Yehuda Cohen
"1089 Hancock St, Brooklyn, NY, 11221",Owner,Two Family Frame (B2),"1,960",11/19/2019,"$990,000",$0,Yehuda Cohen
"833 Knickerbocker Ave, Brooklyn, NY, 11207",Managing Member,"Church, Synagogue, Chapel (M1)","4,460",10/27/2020,"$2,000,000",$0,Yehuda Cohen
"641 Central Ave, Brooklyn, NY, 11207",Managing Member,Over Six Families without Stores (C1),"5,000",1/11/2013,"$275,000","$5,856,626",Yehuda Cohen
"2724 Pitkin Ave, Brooklyn, NY, 11208",Owner,Over Six Families without Stores (C1),"8,151",5/29/2013,"$750,000","$1,200,000",Yehuda Cohen
"319 E 46th St, Brooklyn, NY, 11203",Managing Member,Five to Six Families (C2),"5,658",12/30/2013,$0,"$6,420,000",Yehuda Cohen
"630 E 31st St, Brooklyn, NY, 11210",Authorized Signatory,Two Family Brick (B1),"2,840",1/7/2020,"$999,999",$0,Yehuda Cohen
"675 E 32nd St, Brooklyn, NY, 11210",Sole member,Zoned Residential - Not Manhattan (V0),0,3/13/2020,"$999,000","$1,100,000",Yehuda Cohen
"771 E 32nd St, Brooklyn, NY, 11210",Member,Five to Six Families (C2),"6,096",1/14/2016,"$925,000","$2,300,000",Yehuda Cohen
"729 E 32nd St, Brooklyn, NY, 11210",Sole member,Zoned Residential - Not Manhattan (V0),0,2/8/2016,"$750,000","$700,000",Yehuda Cohen
"875 E 35th St, Brooklyn, NY, 11210",CEO (Chief Executive Officer),"Two Stories Detached (Small or Moderate Size, with or without Attic) (A1)","2,021",9/1/2021,"$900,000","$105,000",Yehuda Cohen
"217-95 Hempstead Ave, Queens Village, NY, 11429",Managing Member,One Story Retail Building (K1),"6,688",7/29/2014,$0,"$9,239,181",Yehuda Cohen
"43 W 68th St, New York, NY, 10023",Owner,Converted Dwellings or Rooming House (C5),"5,495",2/11/2020,$0,"$18,619,663",Yehuda Cohen
"144 W 133rd St, New York, NY, 10030",Managing Member,Three Families (C0),"4,227",7/26/2007,$0,"$7,319,712",Yehuda Cohen
"2586 Bedford Ave, Brooklyn, NY, 11226",Partner/Partnership,Five to Six Families (C2),"4,036",4/2/2012,$0,"$3,941,100",Yehuda Cohen
(no-address),Owner,Zoned Residential - Not Manhattan (V0),0,3/27/2008,$0,"$97,300",Yehuda Cohen
(no-address),Shareholder,Zoned Commercial or Manhattan Residential (V1),0,2/26/2021,$0,$0,Yehuda Cohen
"373-423 Tompkins Ave, Brooklyn, NY, 11216",Managing Member,Single or Multiple Dwelling with Stores or Offices (S9),"6,280",10/18/2011,"$750,000","$2,895,536",Yehuda Cohen
"146-92 Guy R Brewer Blvd, Jamaica, NY, 11434",President,One Story Retail Building (K1),"5,500",12/4/2007,"$1,000,000","$1,323,275",Yehuda Cohen
"771 E 32nd St, Brooklyn, NY, 11210",Managing Member,Five to Six Families (C2),"6,096",,,"$2,300,000",Yehuda Cohen
"1163 Dean St #4, Brooklyn, NY, 11216",Managing Member,Four Families (C3),0,,,"$123,463",Yehuda Cohen
"729 E 32nd St, Brooklyn, NY, 11210",Managing Member,Zoned Residential - Not Manhattan (V0),0,,,"$1,700,000",Yehuda Cohen
"1185 Dean St #6, Brooklyn, NY, 11216",CEO (Chief Executive Officer),Converted Dwellings or Rooming House (C5),0,,,"$3,000,000",Yehuda Cohen
"481 Chauncey St #6, Brooklyn, NY, 11233",Managing Member,Five to Six Families (C2),0,,,"$2,885,000",Yehuda Cohen
"2724 Pitkin Ave #11, Brooklyn, NY, 11208",Managing Member,Over Six Families without Stores (C1),0,,,"$6,109,468",Yehuda Cohen
